user_id,product_id,Quantity,rating
10000,P100228,4,3
10000,P100293,3,2
10001,P100141,3,2
10001,P100172,3,2
10001,P100268,2,2
10001,P100330,3,2
10001,P100440,3,2
10001,P100492,3,2
10002,P100002,7,4
10002,P100014,1,1
10002,P100344,3,2
10002,P100381,3,2
10003,P100058,2,2
10003,P100066,5,3
10003,P100089,2,2
10003,P100133,3,2
10003,P100304,6,3
10003,P100453,6,3
10004,P100280,2,2
10004,P100485,3,2
10005,P100100,4,3
10005,P100158,2,2
10005,P100403,4,3
10005,P100420,7,4
10005,P100436,6,3
10006,P100184,5,3
10006,P100200,4,3
10006,P100481,2,2
10007,P100043,5,3
10007,P100331,2,2
10008,P100025,3,2
10008,P100129,5,3
10008,P100154,4,3
10008,P100179,3,2
10008,P100220,3,2
10009,P100014,2,2
10009,P100022,6,3
10009,P100269,8,4
10009,P100270,3,2
10009,P100320,7,4
10009,P100475,4,3
10010,P100022,1,1
10010,P100229,2,2
10010,P100486,3,2
10011,P100020,3,2
10011,P100033,3,2
10011,P100072,2,2
10011,P100138,7,4
10011,P100226,2,2
10011,P100434,2,2
10011,P100456,4,3
10011,P100483,5,3
10011,P100498,5,3
10012,P100027,5,3
10012,P100041,2,2
10012,P100066,2,2
10012,P100256,2,2
10012,P100291,4,3
10012,P100449,2,2
10012,P100473,2,2
10013,P100168,3,2
10013,P100373,3,2
10013,P100375,6,3
10013,P100395,3,2
10014,P100026,2,2
10014,P100097,3,2
10014,P100324,3,2
10014,P100336,1,1
10014,P100369,2,2
10014,P100382,4,3
10014,P100393,3,2
10014,P100403,4,3
10015,P100044,3,2
10015,P100182,3,2
10015,P100183,5,3
10015,P100230,5,3
10015,P100242,3,2
10015,P100269,2,2
10015,P100475,4,3
10015,P100498,4,3
10016,P100005,3,2
10016,P100051,3,2
10016,P100091,3,2
10016,P100321,3,2
10016,P100380,3,2
10016,P100494,3,2
10017,P100030,4,3
10017,P100097,2,2
10017,P100227,2,2
10017,P100243,9,5
10017,P100337,2,2
10017,P100492,4,3
10018,P100088,2,2
10018,P100148,1,1
10018,P100170,2,2
10018,P100217,3,2
10018,P100220,2,2
10018,P100373,5,3
10018,P100438,3,2
10019,P100119,2,2
10019,P100177,1,1
10019,P100245,1,1
10019,P100350,2,2
10020,P100161,3,2
10020,P100327,3,2
10020,P100478,4,3
10021,P100134,8,4
10021,P100177,2,2
10021,P100401,3,2
10022,P100004,1,1
10022,P100368,3,2
10023,P100007,2,2
10023,P100027,2,2
10023,P100041,2,2
10023,P100192,2,2
10023,P100375,4,3
10023,P100424,2,2
10023,P100433,8,4
10023,P100457,4,3
10024,P100016,3,2
10024,P100214,5,3
10024,P100346,2,2
10025,P100016,5,3
10025,P100114,3,2
10025,P100199,3,2
10025,P100300,3,2
10025,P100456,3,2
10026,P100071,1,1
10026,P100232,3,2
10027,P100085,3,2
10027,P100237,4,3
10027,P100263,5,3
10027,P100324,3,2
10027,P100421,6,3
10028,P100094,3,2
10028,P100098,2,2
10028,P100220,3,2
10030,P100014,2,2
10030,P100034,2,2
10030,P100134,4,3
10030,P100157,2,2
10030,P100227,3,2
10031,P100057,2,2
10031,P100127,1,1
10031,P100210,1,1
10031,P100415,3,2
10031,P100456,2,2
10032,P100049,3,2
10032,P100170,3,2
10032,P100181,3,2
10032,P100188,3,2
10032,P100207,4,3
10032,P100313,4,3
10033,P100031,2,2
10033,P100149,2,2
10033,P100239,3,2
10033,P100278,3,2
10033,P100357,3,2
10033,P100463,1,1
10034,P100000,2,2
10034,P100001,1,1
10034,P100002,7,4
10034,P100013,4,3
10034,P100088,2,2
10034,P100096,3,2
10034,P100312,1,1
10034,P100331,3,2
10035,P100041,3,2
10035,P100075,4,3
10035,P100095,3,2
10035,P100163,1,1
10035,P100232,1,1
10036,P100004,1,1
10036,P100093,1,1
10036,P100340,3,2
10036,P100377,4,3
10036,P100436,2,2
10037,P100053,2,2
10037,P100185,4,3
10037,P100304,1,1
10037,P100316,3,2
10037,P100324,2,2
10037,P100439,2,2
10037,P100473,3,2
10037,P100485,4,3
10037,P100491,2,2
10038,P100017,4,3
10038,P100097,2,2
10038,P100177,3,2
10038,P100262,3,2
10038,P100271,2,2
10038,P100294,1,1
10039,P100102,5,3
10039,P100128,1,1
10039,P100142,3,2
10039,P100212,3,2
10039,P100352,3,2
10039,P100497,1,1
10040,P100007,5,3
10040,P100052,2,2
10040,P100079,2,2
10040,P100102,3,2
10040,P100189,4,3
10040,P100250,3,2
10040,P100364,1,1
10040,P100420,2,2
10040,P100433,6,3
10040,P100449,4,3
10041,P100049,4,3
10041,P100104,1,1
10041,P100341,2,2
10041,P100361,3,2
10042,P100168,3,2
10042,P100267,6,3
10042,P100279,3,2
10042,P100298,3,2
10042,P100343,2,2
10042,P100373,3,2
10042,P100413,4,3
10042,P100457,3,2
10043,P100112,4,3
10043,P100313,4,3
10043,P100358,5,3
10043,P100404,4,3
10044,P100172,4,3
10044,P100188,3,2
10044,P100320,1,1
10045,P100108,2,2
10045,P100158,6,3
10045,P100171,3,2
10045,P100195,2,2
10045,P100335,2,2
10045,P100445,1,1
10046,P100125,3,2
10046,P100137,3,2
10046,P100197,3,2
10046,P100291,1,1
10047,P100059,4,3
10047,P100252,3,2
10047,P100289,3,2
10047,P100339,5,3
10047,P100426,1,1
10047,P100436,5,3
10047,P100441,3,2
10048,P100014,3,2
10048,P100164,3,2
10048,P100325,3,2
10048,P100373,2,2
10048,P100434,2,2
10049,P100199,3,2
10049,P100241,2,2
10049,P100264,3,2
10049,P100364,3,2
10050,P100042,2,2
10050,P100205,1,1
10050,P100208,1,1
10050,P100210,2,2
10050,P100408,2,2
10050,P100422,3,2
10051,P100006,3,2
10051,P100290,7,4
10051,P100392,8,4
10051,P100463,4,3
10052,P100130,3,2
10052,P100219,1,1
10052,P100294,5,3
10052,P100319,2,2
10053,P100125,2,2
10053,P100247,6,3
10053,P100267,1,1
10053,P100423,2,2
10054,P100044,1,1
10054,P100051,4,3
10054,P100052,2,2
10054,P100206,3,2
10054,P100208,3,2
10054,P100302,2,2
10054,P100374,1,1
10054,P100476,4,3
10055,P100045,2,2
10055,P100124,2,2
10055,P100372,3,2
10055,P100375,4,3
10055,P100399,2,2
10055,P100464,2,2
10056,P100168,2,2
10056,P100169,2,2
10056,P100198,2,2
10056,P100210,2,2
10056,P100273,4,3
10056,P100413,3,2
10056,P100477,3,2
10057,P100137,3,2
10057,P100146,5,3
10057,P100198,4,3
10057,P100254,1,1
10057,P100337,3,2
10057,P100414,4,3
10057,P100479,4,3
10058,P100118,4,3
10058,P100134,3,2
10058,P100139,3,2
10058,P100166,3,2
10058,P100194,3,2
10058,P100205,3,2
10058,P100264,1,1
10058,P100304,3,2
10058,P100314,2,2
10059,P100422,2,2
10060,P100041,5,3
10060,P100124,3,2
10060,P100137,3,2
10060,P100412,6,3
10060,P100461,1,1
10060,P100491,3,2
10061,P100066,4,3
10061,P100181,4,3
10062,P100004,2,2
10062,P100142,5,3
10062,P100167,3,2
10062,P100267,4,3
10062,P100313,2,2
10062,P100484,3,2
10063,P100131,5,3
10063,P100290,3,2
10063,P100494,4,3
10064,P100016,4,3
10064,P100214,7,4
10064,P100348,2,2
10065,P100012,3,2
10065,P100098,2,2
10065,P100111,3,2
10065,P100195,2,2
10065,P100214,2,2
10066,P100038,3,2
10066,P100110,5,3
10066,P100136,3,2
10067,P100023,3,2
10067,P100084,1,1
10067,P100453,4,3
10068,P100297,3,2
10068,P100322,2,2
10068,P100372,5,3
10068,P100452,4,3
10069,P100146,5,3
10069,P100201,3,2
10069,P100289,3,2
10069,P100326,3,2
10069,P100437,3,2
10070,P100016,2,2
10070,P100059,3,2
10070,P100063,3,2
10070,P100165,2,2
10070,P100405,5,3
10070,P100406,2,2
10071,P100011,2,2
10071,P100305,3,2
10071,P100306,3,2
10071,P100451,1,1
10072,P100115,6,3
10072,P100320,3,2
10072,P100321,3,2
10072,P100344,3,2
10072,P100376,3,2
10073,P100088,1,1
10073,P100255,3,2
10073,P100371,4,3
10074,P100112,3,2
10074,P100155,2,2
10074,P100192,2,2
10074,P100196,2,2
10074,P100240,3,2
10074,P100256,3,2
10074,P100305,5,3
10074,P100334,2,2
10075,P100004,2,2
10075,P100018,3,2
10075,P100083,4,3
10075,P100158,5,3
10075,P100185,3,2
10075,P100207,4,3
10075,P100218,5,3
10075,P100368,3,2
10075,P100385,3,2
10075,P100403,3,2
10076,P100065,3,2
10076,P100196,1,1
10076,P100210,2,2
10076,P100390,4,3
10077,P100171,2,2
10077,P100202,5,3
10077,P100304,6,3
10077,P100400,2,2
10077,P100462,4,3
10078,P100120,3,2
10078,P100141,1,1
10078,P100143,2,2
10078,P100374,3,2
10079,P100250,4,3
10080,P100161,5,3
10080,P100214,2,2
10080,P100489,4,3
10081,P100010,5,3
10081,P100051,3,2
10081,P100053,4,3
10081,P100181,2,2
10081,P100225,2,2
10081,P100273,4,3
10081,P100309,5,3
10081,P100335,3,2
10081,P100458,6,3
10082,P100141,1,1
10082,P100160,2,2
10082,P100258,4,3
10083,P100101,3,2
10083,P100114,2,2
10083,P100118,6,3
10083,P100377,1,1
10083,P100433,3,2
10083,P100462,3,2
10084,P100067,3,2
10084,P100130,1,1
10084,P100373,2,2
10084,P100379,3,2
10084,P100462,3,2
10085,P100062,3,2
10085,P100116,2,2
10085,P100177,1,1
10085,P100181,2,2
10085,P100193,5,3
10085,P100275,2,2
10085,P100360,2,2
10086,P100145,8,4
10086,P100306,3,2
10086,P100329,3,2
10086,P100451,5,3
10087,P100022,2,2
10087,P100133,5,3
10087,P100400,6,3
10088,P100023,1,1
10088,P100129,2,2
10088,P100265,4,3
10088,P100385,7,4
10088,P100426,3,2
10088,P100427,5,3
10088,P100445,4,3
10089,P100063,4,3
10089,P100071,4,3
10089,P100088,6,3
10089,P100143,5,3
10089,P100188,1,1
10089,P100196,4,3
10089,P100287,5,3
10089,P100331,3,2
10089,P100392,2,2
10089,P100433,6,3
10089,P100487,4,3
10090,P100464,1,1
10090,P100485,1,1
10091,P100130,2,2
10091,P100176,4,3
10091,P100351,2,2
10091,P100431,2,2
10091,P100477,3,2
10092,P100196,3,2
10092,P100228,1,1
10092,P100242,4,3
10092,P100250,1,1
10092,P100335,2,2
10093,P100039,1,1
10093,P100151,5,3
10093,P100324,4,3
10094,P100203,4,3
10094,P100262,1,1
10094,P100301,3,2
10095,P100164,2,2
10095,P100370,5,3
10095,P100425,2,2
10096,P100073,4,3
10096,P100276,2,2
10096,P100297,4,3
10096,P100448,3,2
10097,P100043,2,2
10097,P100198,1,1
10097,P100216,4,3
10097,P100343,2,2
10097,P100496,2,2
10098,P100041,4,3
10098,P100073,3,2
10098,P100240,1,1
10098,P100297,4,3
10098,P100480,4,3
10098,P100485,5,3
10099,P100027,5,3
10099,P100073,3,2
10099,P100086,2,2
10099,P100444,3,2
10099,P100471,1,1
10099,P100479,2,2
10100,P100112,4,3
10100,P100138,3,2
10100,P100316,4,3
10100,P100322,5,3
10100,P100396,2,2
10101,P100010,4,3
10101,P100033,4,3
10101,P100059,4,3
10101,P100086,3,2
10101,P100460,1,1
10102,P100033,4,3
10102,P100103,2,2
10102,P100243,3,2
10102,P100336,2,2
10103,P100219,3,2
10103,P100306,3,2
10103,P100365,6,3
10104,P100146,3,2
10104,P100207,1,1
10105,P100022,2,2
10105,P100296,4,3
10106,P100025,2,2
10106,P100053,2,2
10106,P100063,3,2
10106,P100093,8,4
10106,P100160,4,3
10106,P100176,3,2
10106,P100204,3,2
10106,P100278,2,2
10106,P100301,3,2
10107,P100027,2,2
10107,P100264,5,3
10107,P100392,2,2
10108,P100044,2,2
10108,P100068,3,2
10108,P100080,1,1
10108,P100085,5,3
10108,P100126,3,2
10108,P100288,2,2
10108,P100460,4,3
10108,P100484,4,3
10109,P100185,2,2
10109,P100202,2,2
10109,P100325,1,1
10109,P100427,3,2
10109,P100440,2,2
10109,P100458,6,3
10110,P100023,4,3
10110,P100033,2,2
10110,P100282,2,2
10110,P100340,2,2
10110,P100442,3,2
10111,P100147,4,3
10111,P100162,6,3
10111,P100263,4,3
10112,P100156,4,3
10112,P100223,5,3
10112,P100349,3,2
10113,P100021,4,3
10113,P100039,4,3
10113,P100124,2,2
10113,P100139,3,2
10113,P100193,2,2
10113,P100229,5,3
10113,P100317,2,2
10113,P100419,4,3
10113,P100421,1,1
10113,P100439,3,2
10113,P100499,3,2
10114,P100099,4,3
10114,P100115,4,3
10114,P100136,4,3
10114,P100295,2,2
10114,P100399,4,3
10114,P100493,3,2
10115,P100104,5,3
10115,P100179,1,1
10115,P100180,4,3
10115,P100313,1,1
10115,P100400,5,3
10116,P100152,6,3
10116,P100233,4,3
10116,P100303,3,2
10116,P100352,1,1
10117,P100001,1,1
10117,P100016,2,2
10117,P100159,1,1
10117,P100221,4,3
10117,P100274,2,2
10117,P100331,4,3
10118,P100315,4,3
10119,P100360,2,2
10119,P100410,1,1
10120,P100125,4,3
10120,P100157,2,2
10120,P100354,4,3
10120,P100450,2,2
10121,P100227,3,2
10121,P100298,3,2
10121,P100435,4,3
10121,P100462,3,2
10122,P100124,2,2
10122,P100141,3,2
10122,P100153,3,2
10122,P100194,2,2
10122,P100233,4,3
10122,P100464,5,3
10122,P100498,3,2
10123,P100167,3,2
10123,P100215,4,3
10123,P100258,3,2
10123,P100296,1,1
10123,P100379,3,2
10123,P100413,4,3
10123,P100417,5,3
10124,P100066,4,3
10124,P100265,2,2
10124,P100365,2,2
10124,P100415,3,2
10125,P100047,4,3
10125,P100106,1,1
10125,P100224,3,2
10125,P100273,3,2
10125,P100398,3,2
10125,P100488,3,2
10126,P100009,4,3
10126,P100134,2,2
10126,P100254,2,2
10126,P100464,2,2
10127,P100074,2,2
10127,P100237,3,2
10127,P100341,3,2
10127,P100346,2,2
10127,P100391,3,2
10127,P100481,5,3
10128,P100135,2,2
10128,P100223,4,3
10128,P100446,2,2
10129,P100160,5,3
10129,P100187,2,2
10129,P100248,5,3
10129,P100488,5,3
10130,P100037,5,3
10130,P100096,2,2
10130,P100216,2,2
10130,P100280,3,2
10131,P100152,4,3
10131,P100228,5,3
10131,P100244,3,2
10131,P100297,3,2
10131,P100341,2,2
10131,P100364,3,2
10131,P100371,5,3
10132,P100064,3,2
10132,P100351,2,2
10132,P100367,3,2
10132,P100377,5,3
10132,P100383,1,1
10132,P100397,3,2
10132,P100400,6,3
10132,P100491,1,1
10133,P100070,2,2
10134,P100054,3,2
10134,P100280,2,2
10134,P100441,5,3
10134,P100462,3,2
10135,P100285,1,1
10135,P100306,4,3
10135,P100317,3,2
10136,P100158,4,3
10136,P100213,1,1
10136,P100282,3,2
10136,P100386,3,2
10136,P100459,3,2
10137,P100215,5,3
10137,P100339,3,2
10138,P100027,6,3
10138,P100145,2,2
10138,P100391,3,2
10139,P100020,2,2
10139,P100107,3,2
10139,P100205,5,3
10139,P100224,2,2
10139,P100270,3,2
10139,P100347,1,1
10139,P100397,3,2
10140,P100178,2,2
10140,P100267,4,3
10140,P100368,3,2
10140,P100480,2,2
10141,P100157,3,2
10141,P100223,1,1
10141,P100304,1,1
10141,P100339,2,2
10142,P100099,1,1
10142,P100245,3,2
10142,P100266,3,2
10142,P100462,4,3
10143,P100136,4,3
10143,P100206,2,2
10143,P100246,3,2
10143,P100328,3,2
10143,P100333,1,1
10143,P100354,2,2
10143,P100390,3,2
10144,P100023,1,1
10144,P100133,2,2
10144,P100267,1,1
10144,P100320,2,2
10144,P100366,3,2
10144,P100478,5,3
10145,P100006,2,2
10145,P100008,4,3
10145,P100095,2,2
10145,P100133,3,2
10145,P100134,5,3
10145,P100184,1,1
10145,P100223,4,3
10145,P100304,4,3
10145,P100393,3,2
10145,P100405,4,3
10145,P100408,1,1
10145,P100451,3,2
10146,P100149,2,2
10146,P100386,2,2
10146,P100457,2,2
10147,P100024,2,2
10147,P100179,5,3
10147,P100271,3,2
10147,P100294,2,2
10148,P100167,3,2
10148,P100303,5,3
10148,P100321,3,2
10149,P100051,2,2
10149,P100103,2,2
10149,P100124,2,2
10149,P100172,4,3
10149,P100219,3,2
10149,P100239,1,1
10149,P100377,4,3
10149,P100395,4,3
10149,P100461,3,2
10150,P100216,2,2
10150,P100218,3,2
10151,P100058,2,2
10151,P100073,2,2
10151,P100089,3,2
10151,P100093,2,2
10151,P100193,3,2
10151,P100252,4,3
10151,P100472,4,3
10152,P100118,1,1
10152,P100144,2,2
10152,P100208,6,3
10152,P100214,4,3
10152,P100227,3,2
10152,P100388,3,2
10152,P100405,6,3
10153,P100062,1,1
10153,P100064,5,3
10153,P100129,3,2
10153,P100171,1,1
10153,P100412,4,3
10153,P100415,1,1
10153,P100486,4,3
10154,P100135,3,2
10154,P100271,3,2
10154,P100282,2,2
10155,P100043,3,2
10155,P100149,2,2
10155,P100294,1,1
10155,P100369,3,2
10155,P100453,3,2
10156,P100318,5,3
10156,P100391,4,3
10157,P100050,4,3
10157,P100159,2,2
10157,P100223,2,2
10157,P100286,3,2
10157,P100337,2,2
10158,P100181,2,2
10158,P100288,2,2
10158,P100340,3,2
10159,P100001,4,3
10159,P100025,5,3
10159,P100180,1,1
10159,P100192,2,2
10159,P100454,2,2
10159,P100455,4,3
10160,P100179,2,2
10160,P100210,4,3
10160,P100211,2,2
10160,P100250,3,2
10160,P100333,4,3
10160,P100423,2,2
10160,P100433,2,2
10161,P100029,3,2
10161,P100037,3,2
10161,P100138,3,2
10161,P100259,2,2
10161,P100283,3,2
10161,P100322,4,3
10162,P100088,3,2
10162,P100165,2,2
10162,P100209,4,3
10162,P100243,2,2
10162,P100329,4,3
10162,P100445,2,2
10163,P100031,2,2
10163,P100097,5,3
10163,P100120,4,3
10163,P100161,4,3
10163,P100183,3,2
10163,P100310,3,2
10163,P100375,2,2
10163,P100399,2,2
10164,P100272,4,3
10164,P100304,2,2
10164,P100346,5,3
10165,P100238,3,2
10165,P100321,6,3
10165,P100421,1,1
10165,P100460,2,2
10165,P100481,4,3
10166,P100006,3,2
10166,P100158,3,2
10166,P100204,1,1
10166,P100394,5,3
10166,P100445,4,3
10166,P100496,6,3
10167,P100023,4,3
10167,P100056,2,2
10167,P100192,2,2
10167,P100246,1,1
10167,P100265,1,1
10167,P100305,3,2
10167,P100455,1,1
10168,P100381,2,2
10168,P100460,7,4
10169,P100143,3,2
10169,P100233,1,1
10169,P100238,3,2
10169,P100272,4,3
10169,P100430,2,2
10170,P100122,3,2
10170,P100157,2,2
10170,P100202,2,2
10170,P100221,3,2
10170,P100300,1,1
10170,P100324,5,3
10170,P100373,4,3
10170,P100470,4,3
10170,P100472,2,2
10171,P100177,4,3
10171,P100237,1,1
10171,P100259,5,3
10171,P100299,2,2
10171,P100390,5,3
10171,P100497,5,3
10172,P100010,2,2
10172,P100035,1,1
10172,P100051,2,2
10172,P100316,5,3
10172,P100423,1,1
10174,P100044,2,2
10174,P100137,3,2
10174,P100150,1,1
10174,P100436,1,1
10174,P100447,5,3
10174,P100472,1,1
10175,P100276,4,3
10175,P100301,3,2
10175,P100302,2,2
10175,P100477,1,1
10175,P100499,5,3
10176,P100012,5,3
10176,P100105,3,2
10176,P100179,1,1
10176,P100329,2,2
10176,P100368,2,2
10176,P100374,1,1
10177,P100206,1,1
10177,P100282,4,3
10177,P100429,1,1
10178,P100029,3,2
10178,P100079,1,1
10178,P100139,3,2
10178,P100316,3,2
10178,P100483,4,3
10179,P100035,3,2
10179,P100053,3,2
10179,P100083,3,2
10179,P100124,2,2
10179,P100167,4,3
10179,P100214,8,4
10179,P100221,2,2
10179,P100235,4,3
10180,P100011,1,1
10180,P100066,3,2
10180,P100179,3,2
10180,P100180,4,3
10180,P100236,3,2
10180,P100271,5,3
10181,P100069,6,3
10181,P100174,6,3
10181,P100412,2,2
10182,P100088,5,3
10182,P100217,3,2
10182,P100377,3,2
10182,P100492,3,2
10183,P100148,4,3
10183,P100170,4,3
10183,P100181,2,2
10183,P100270,1,1
10183,P100381,2,2
10184,P100469,4,3
10184,P100480,4,3
10185,P100025,2,2
10185,P100082,4,3
10185,P100131,3,2
10185,P100147,4,3
10185,P100169,3,2
10185,P100356,2,2
10185,P100433,6,3
10186,P100036,1,1
10186,P100070,2,2
10186,P100146,4,3
10186,P100198,1,1
10186,P100226,2,2
10186,P100306,4,3
10186,P100499,3,2
10187,P100118,3,2
10187,P100214,4,3
10188,P100052,5,3
10188,P100167,2,2
10188,P100296,2,2
10188,P100451,5,3
10189,P100023,3,2
10189,P100029,4,3
10189,P100170,1,1
10189,P100215,2,2
10190,P100207,7,4
10190,P100471,4,3
10191,P100042,2,2
10191,P100138,2,2
10191,P100151,2,2
10191,P100375,3,2
10191,P100489,1,1
10192,P100033,2,2
10192,P100224,2,2
10192,P100331,2,2
10193,P100139,2,2
10193,P100231,4,3
10193,P100281,2,2
10193,P100289,3,2
10194,P100011,3,2
10194,P100041,2,2
10194,P100049,3,2
10194,P100221,2,2
10194,P100415,2,2
10194,P100438,4,3
10195,P100146,6,3
10195,P100293,3,2
10195,P100314,3,2
10195,P100393,1,1
10196,P100004,3,2
10196,P100036,4,3
10196,P100131,2,2
10196,P100144,1,1
10196,P100196,2,2
10197,P100010,2,2
10197,P100046,2,2
10197,P100082,3,2
10197,P100286,2,2
10197,P100288,4,3
10197,P100371,2,2
10197,P100405,3,2
10197,P100457,2,2
10198,P100187,3,2
10198,P100266,4,3
10198,P100328,2,2
10199,P100095,3,2
10199,P100195,2,2
10199,P100467,2,2
10199,P100486,4,3
10200,P100127,3,2
10200,P100201,2,2
10200,P100231,2,2
10200,P100274,3,2
10201,P100014,2,2
10201,P100305,2,2
10201,P100364,3,2
10202,P100001,1,1
